Scorecard,Team 1,Team 2,Ground,Winner,Host,Day,Month,Year,WinInn
ODI # 2144,India,U.A.E.,Dambulla,India,Sri Lanka,16,Jul,2004,1
ODI # 2145,Bangladesh,Pakistan,Colombo,Pakistan,Sri Lanka,17,Jul,2004,1
ODI # 2146,Sri Lanka,U.A.E.,Dambulla,Sri Lanka,Sri Lanka,17,Jul,2004,1
ODI # 2147,Hong Kong,Pakistan,Colombo,Pakistan,Sri Lanka,18,Jul,2004,1
ODI # 2148,Sri Lanka,India,Dambulla,Sri Lanka,Sri Lanka,18,Jul,2004,1
ODI # 2149,Bangladesh,India,Colombo,India,Sri Lanka,21,Jul,2004,2
ODI # 2150,Sri Lanka,Pakistan,Colombo,Sri Lanka,Sri Lanka,21,Jul,2004,2
ODI # 2151,Sri Lanka,Bangladesh,Colombo,Sri Lanka,Sri Lanka,23,Jul,2004,2
ODI # 2152,India,Pakistan,Colombo,Pakistan,Sri Lanka,25,Jul,2004,1
ODI # 2153,Sri Lanka,India,Colombo,India,Sri Lanka,27,Jul,2004,1
ODI # 2154,Bangladesh,Pakistan,Colombo,Pakistan,Sri Lanka,29,Jul,2004,2
ODI # 2155,Sri Lanka,India,Colombo,Sri Lanka,Sri Lanka,1,Aug,2004,1
ODI # 2156,Sri Lanka,South Africa,Colombo,Sri Lanka,Sri Lanka,20,Aug,2004,2
ODI # 2157,India,Pakistan,Amstelveen,Pakistan,Netherlands,21,Aug,2004,1
ODI # 2158,Sri Lanka,South Africa,Colombo,Sri Lanka,Sri Lanka,22,Aug,2004,1
ODI # 2160,Sri Lanka,South Africa,Dambulla,Sri Lanka,Sri Lanka,25,Aug,2004,2
ODI # 2161,Sri Lanka,South Africa,Dambulla,Sri Lanka,Sri Lanka,28,Aug,2004,2
ODI # 2162,Australia,Pakistan,Amstelveen,Australia,Netherlands,28,Aug,2004,1
ODI # 2163,Sri Lanka,South Africa,Colombo,Sri Lanka,Sri Lanka,31,Aug,2004,1
ODI # 2164,England,India,Nottingham,England,England,1,Sep,2004,2
ODI # 2165,England,India,The Oval,England,England,3,Sep,2004,1
ODI # 2166,Australia,Pakistan,Lord's,Australia,England,4,Sep,2004,1
ODI # 2167,England,India,Lord's,India,England,5,Sep,2004,1
ODI # 2168,England,Zimbabwe,Birmingham,England,England,10-11,Sep,2004,1
ODI # 2169,New Zealand,U.S.A.,The Oval,New Zealand,England,10,Sep,2004,1
ODI # 2170,India,Kenya,Southampton,India,England,11,Sep,2004,1
ODI # 2171,Bangladesh,South Africa,Birmingham,South Africa,England,12,Sep,2004,2
ODI # 2172,Australia,U.S.A.,Southampton,Australia,England,13,Sep,2004,2
ODI # 2173,Sri Lanka,Zimbabwe,The Oval,Sri Lanka,England,14,Sep,2004,2
ODI # 2174,Kenya,Pakistan,Birmingham,Pakistan,England,14-15,Sep,2004,2
ODI # 2175,Bangladesh,West Indies,Southampton,West Indies,England,15,Sep,2004,1
ODI # 2176,Australia,New Zealand,The Oval,Australia,England,16,Sep,2004,2
ODI # 2177,England,Sri Lanka,Southampton,England,England,17-18,Sep,2004,1
ODI # 2178,South Africa,West Indies,The Oval,West Indies,England,18-19,Sep,2004,2
ODI # 2179,India,Pakistan,Birmingham,Pakistan,England,19,Sep,2004,2
ODI # 2180,England,Australia,Birmingham,England,England,21,Sep,2004,2
ODI # 2181,Pakistan,West Indies,Southampton,West Indies,England,22,Sep,2004,2
ODI # 2182,England,West Indies,The Oval,West Indies,England,25,Sep,2004,2
ODI # 2183,Pakistan,Zimbabwe,Multan,Pakistan,Pakistan,30,Sep,2004,1
ODI # 2184,Pakistan,Zimbabwe,Peshawar,Pakistan,Pakistan,3,Oct,2004,2
ODI # 2185,Pakistan,Sri Lanka,Karachi,Pakistan,Pakistan,6,Oct,2004,2
ODI # 2186,Sri Lanka,Zimbabwe,Rawalpindi,Sri Lanka,Pakistan,9,Oct,2004,2
ODI # 2187,Pakistan,Sri Lanka,Lahore,Pakistan,Pakistan,14,Oct,2004,2
ODI # 2188,Pakistan,Sri Lanka,Lahore,Sri Lanka,Pakistan,16,Oct,2004,1
ODI # 2189,Bangladesh,New Zealand,Chittagong,New Zealand,Bangladesh,2,Nov,2004,1
ODI # 2190,Bangladesh,New Zealand,Dhaka,New Zealand,Bangladesh,5,Nov,2004,2
ODI # 2191,Bangladesh,New Zealand,Dhaka,New Zealand,Bangladesh,7,Nov,2004,1
ODI # 2192,India,Pakistan,Kolkata,Pakistan,India,13,Nov,2004,2
ODI # 2193,Zimbabwe,England,Harare,England,Zimbabwe,28,Nov,2004,2
ODI # 2194,Zimbabwe,England,Harare,England,Zimbabwe,1,Dec,2004,1
ODI # 2195,Zimbabwe,England,Bulawayo,England,Zimbabwe,4,Dec,2004,2
ODI # 2196,Australia,New Zealand,Melbourne,New Zealand,Australia,5,Dec,2004,2
ODI # 2197,Zimbabwe,England,Bulawayo,England,Zimbabwe,5,Dec,2004,1
ODI # 2198,Australia,New Zealand,Sydney,Australia,Australia,8,Dec,2004,1
ODI # 2199,Bangladesh,India,Chittagong,India,Bangladesh,23,Dec,2004,1
ODI # 2200,New Zealand,Sri Lanka,Auckland,New Zealand,New Zealand,26,Dec,2004,2
ODI # 2201,Bangladesh,India,Dhaka,Bangladesh,Bangladesh,26,Dec,2004,1
ODI # 2202,Bangladesh,India,Dhaka,India,Bangladesh,27,Dec,2004,1
ODI # 2204,Australia,West Indies,Melbourne,Australia,Australia,14,Jan,2005,1
ODI # 2205,Australia,Pakistan,Hobart,Australia,Australia,16,Jan,2005,2
ODI # 2206,Pakistan,West Indies,Brisbane,Pakistan,Australia,19,Jan,2005,2
ODI # 2207,Bangladesh,Zimbabwe,Dhaka,Zimbabwe,Bangladesh,20,Jan,2005,1
ODI # 2209,Australia,Pakistan,Sydney,Australia,Australia,23,Jan,2005,2
ODI # 2210,Bangladesh,Zimbabwe,Chittagong,Zimbabwe,Bangladesh,24,Jan,2005,1
ODI # 2211,Bangladesh,Zimbabwe,Chittagong,Bangladesh,Bangladesh,26,Jan,2005,1
ODI # 2212,Australia,West Indies,Adelaide,Australia,Australia,26,Jan,2005,1
ODI # 2213,Pakistan,West Indies,Adelaide,West Indies,Australia,28,Jan,2005,1
ODI # 2214,Bangladesh,Zimbabwe,Dhaka,Bangladesh,Bangladesh,29,Jan,2005,1
ODI # 2215,Australia,Pakistan,Perth,Pakistan,Australia,30,Jan,2005,2
ODI # 2216,South Africa,England,Johannesburg,England,South Africa,30,Jan,2005,1
ODI # 2217,Bangladesh,Zimbabwe,Dhaka,Bangladesh,Bangladesh,31,Jan,2005,2
ODI # 2218,Pakistan,West Indies,Perth,Pakistan,Australia,1,Feb,2005,1
ODI # 2220,Australia,Pakistan,Melbourne,Australia,Australia,4,Feb,2005,1
ODI # 2221,South Africa,England,Port Elizabeth,South Africa,South Africa,4,Feb,2005,2
ODI # 2222,Australia,Pakistan,Sydney,Australia,Australia,6,Feb,2005,1
ODI # 2223,South Africa,England,Cape Town,South Africa,South Africa,6,Feb,2005,1
ODI # 2224,South Africa,England,East London,South Africa,South Africa,9,Feb,2005,1
ODI # 2226,South Africa,England,Centurion,South Africa,South Africa,13,Feb,2005,2
ODI # 2227,New Zealand,Australia,Wellington,Australia,New Zealand,19,Feb,2005,1
ODI # 2228,New Zealand,Australia,Christchurch,Australia,New Zealand,22,Feb,2005,1
ODI # 2229,South Africa,Zimbabwe,Johannesburg,South Africa,South Africa,25,Feb,2005,1
ODI # 2230,New Zealand,Australia,Auckland,Australia,New Zealand,26,Feb,2005,1
ODI # 2231,South Africa,Zimbabwe,Durban,South Africa,South Africa,27,Feb,2005,1
ODI # 2232,New Zealand,Australia,Wellington,Australia,New Zealand,1,Mar,2005,2
ODI # 2233,South Africa,Zimbabwe,Port Elizabeth,South Africa,South Africa,2,Mar,2005,2
ODI # 2234,New Zealand,Australia,Napier,Australia,New Zealand,5,Mar,2005,1
ODI # 2235,India,Pakistan,Kochi,India,India,2,Apr,2005,1
ODI # 2236,India,Pakistan,Visakhapatnam,India,India,5,Apr,2005,1
ODI # 2237,India,Pakistan,Jamshedpur,Pakistan,India,9,Apr,2005,1
ODI # 2238,India,Pakistan,Ahmedabad,Pakistan,India,12,Apr,2005,2
ODI # 2239,India,Pakistan,Kanpur,Pakistan,India,15,Apr,2005,2
ODI # 2240,India,Pakistan,Delhi,Pakistan,India,17,Apr,2005,1
ODI # 2241,West Indies,South Africa,Kingston,South Africa,West Indies,7,May,2005,2
ODI # 2242,West Indies,South Africa,Kingston,South Africa,West Indies,8,May,2005,2
ODI # 2243,West Indies,South Africa,Bridgetown,South Africa,West Indies,11,May,2005,1
ODI # 2244,West Indies,South Africa,Port of Spain,South Africa,West Indies,14,May,2005,2
ODI # 2245,West Indies,South Africa,Port of Spain,South Africa,West Indies,15,May,2005,2
ODI # 2246,West Indies,Pakistan,Kingstown,Pakistan,West Indies,18,May,2005,1
ODI # 2247,West Indies,Pakistan,Gros Islet,Pakistan,West Indies,21,May,2005,1
ODI # 2248,West Indies,Pakistan,Gros Islet,Pakistan,West Indies,22,May,2005,1
ODI # 2249,England,Bangladesh,The Oval,England,England,16,Jun,2005,2
ODI # 2250,Australia,Bangladesh,Cardiff,Bangladesh,England,18,Jun,2005,2
ODI # 2251,England,Australia,Bristol,England,England,19,Jun,2005,2
ODI # 2252,England,Bangladesh,Nottingham,England,England,21,Jun,2005,1
ODI # 2253,England,Australia,Chester,Australia,England,23,Jun,2005,1
ODI # 2254,Australia,Bangladesh,Manchester,Australia,England,25,Jun,2005,2
ODI # 2255,England,Bangladesh,Leeds,England,England,26,Jun,2005,2
ODI # 2257,Australia,Bangladesh,Canterbury,Australia,England,30,Jun,2005,2
ODI # 2259,England,Australia,Leeds,England,England,7,Jul,2005,2
ODI # 2260,England,Australia,Lord's,Australia,England,10,Jul,2005,2
ODI # 2261,England,Australia,The Oval,Australia,England,12,Jul,2005,2
ODI # 2262,Sri Lanka,India,Dambulla,Sri Lanka,Sri Lanka,30,Jul,2005,2
ODI # 2263,India,West Indies,Dambulla,India,Sri Lanka,31,Jul,2005,2
ODI # 2264,Sri Lanka,West Indies,Dambulla,Sri Lanka,Sri Lanka,2,Aug,2005,1
ODI # 2265,Sri Lanka,India,Dambulla,Sri Lanka,Sri Lanka,3,Aug,2005,2
ODI # 2266,Sri Lanka,West Indies,Colombo,West Indies,Sri Lanka,6,Aug,2005,1
ODI # 2267,India,West Indies,Colombo,India,Sri Lanka,7,Aug,2005,1
ODI # 2268,Sri Lanka,India,Colombo,Sri Lanka,Sri Lanka,9,Aug,2005,1
ODI # 2272,Zimbabwe,New Zealand,Bulawayo,New Zealand,Zimbabwe,24,Aug,2005,1
ODI # 2273,India,New Zealand,Bulawayo,New Zealand,Zimbabwe,26,Aug,2005,1
ODI # 2274,Zimbabwe,India,Harare,India,Zimbabwe,29,Aug,2005,1
ODI # 2275,Sri Lanka,Bangladesh,Colombo,Sri Lanka,Sri Lanka,31,Aug,2005,1
ODI # 2276,Zimbabwe,New Zealand,Harare,New Zealand,Zimbabwe,31,Aug,2005,1
ODI # 2277,Sri Lanka,Bangladesh,Colombo,Sri Lanka,Sri Lanka,2,Sep,2005,1
ODI # 2278,India,New Zealand,Harare,India,Zimbabwe,2,Sep,2005,2
ODI # 2279,Sri Lanka,Bangladesh,Colombo,Sri Lanka,Sri Lanka,4,Sep,2005,2
ODI # 2280,Zimbabwe,India,Harare,India,Zimbabwe,4,Sep,2005,2
ODI # 2281,India,New Zealand,Harare,New Zealand,Zimbabwe,6,Sep,2005,2
ODI # 2285,South Africa,New Zealand,Bloemfontein,South Africa,South Africa,23,Oct,2005,2
ODI # 2286,India,Sri Lanka,Nagpur,India,India,25,Oct,2005,1
ODI # 2287,India,Sri Lanka,Mohali,India,,28,Oct,2005,2
ODI # 2288,South Africa,New Zealand,Cape Town,South Africa,South Africa,28,Oct,2005,1
ODI # 2289,South Africa,New Zealand,Port Elizabeth,South Africa,South Africa,30,Oct,2005,2
ODI # 2290,India,Sri Lanka,Jaipur,India,India,31,Oct,2005,2
ODI # 2291,India,Sri Lanka,Pune,India,India,3,Nov,2005,2
ODI # 2293,South Africa,New Zealand,Centurion,South Africa,South Africa,6,Nov,2005,2
ODI # 2294,India,Sri Lanka,Ahmedabad,Sri Lanka,India,6,Nov,2005,2
ODI # 2295,India,Sri Lanka,Rajkot,India,India,9,Nov,2005,2
ODI # 2296,India,Sri Lanka,Vadodara,India,India,12,Nov,2005,2
ODI # 2297,India,South Africa,Hyderabad,South Africa,India,16,Nov,2005,2
ODI # 2298,India,South Africa,Bengaluru,India,India,19,Nov,2005,2
ODI # 2299,India,South Africa,Kolkata,South Africa,India,25,Nov,2005,2
ODI # 2300,India,South Africa,Mumbai,India,India,28,Nov,2005,2
ODI # 2301,New Zealand,Australia,Auckland,Australia,New Zealand,3,Dec,2005,1
ODI # 2302,New Zealand,Australia,Wellington,Australia,New Zealand,7,Dec,2005,1
ODI # 2303,New Zealand,Australia,Christchurch,New Zealand,New Zealand,10,Dec,2005,2
ODI # 2304,Pakistan,England,Lahore,England,Pakistan,10,Dec,2005,1
ODI # 2305,Pakistan,England,Lahore,Pakistan,Pakistan,12,Dec,2005,2
ODI # 2306,Pakistan,England,Karachi,Pakistan,Pakistan,15,Dec,2005,1
ODI # 2307,Pakistan,England,Rawalpindi,Pakistan,Pakistan,19,Dec,2005,1
ODI # 2308,Pakistan,England,Rawalpindi,England,Pakistan,21,Dec,2005,1
ODI # 2309,New Zealand,Sri Lanka,Queenstown,New Zealand,New Zealand,31,Dec,2005,2
ODI # 2310,New Zealand,Sri Lanka,Christchurch,New Zealand,New Zealand,3,Jan,2006,2
ODI # 2311,New Zealand,Sri Lanka,Wellington,New Zealand,New Zealand,6,Jan,2006,1
ODI # 2312,New Zealand,Sri Lanka,Napier,Sri Lanka,New Zealand,8,Jan,2006,1
ODI # 2313,Australia,Sri Lanka,Melbourne,Australia,Australia,13,Jan,2006,1
ODI # 2314,Australia,South Africa,Brisbane,South Africa,Australia,15,Jan,2006,2
ODI # 2315,South Africa,Sri Lanka,Brisbane,Sri Lanka,Australia,17,Jan,2006,1
ODI # 2316,Australia,South Africa,Melbourne,Australia,Australia,20,Jan,2006,1
ODI # 2317,Australia,Sri Lanka,Sydney,Sri Lanka,Australia,22,Jan,2006,1
ODI # 2318,South Africa,Sri Lanka,Adelaide,South Africa,Australia,24,Jan,2006,1
ODI # 2319,Australia,Sri Lanka,Adelaide,Australia,Australia,26,Jan,2006,2
ODI # 2320,Australia,Sri Lanka,Perth,Australia,Australia,29,Jan,2006,2
ODI # 2321,South Africa,Sri Lanka,Perth,South Africa,Australia,31,Jan,2006,2
ODI # 2322,Australia,South Africa,Melbourne,Australia,Australia,3,Feb,2006,1
ODI # 2323,Australia,South Africa,Sydney,Australia,Australia,5,Feb,2006,1
ODI # 2324,Pakistan,India,Peshawar,Pakistan,Pakistan,6,Feb,2006,1
ODI # 2325,South Africa,Sri Lanka,Hobart,Sri Lanka,Australia,7,Feb,2006,1
ODI # 2326,Australia,Sri Lanka,Adelaide,Sri Lanka,Australia,10,Feb,2006,1
ODI # 2327,Pakistan,India,Rawalpindi,India,Pakistan,11,Feb,2006,2
ODI # 2328,Australia,Sri Lanka,Sydney,Australia,Australia,12,Feb,2006,1
ODI # 2329,Pakistan,India,Lahore,India,Pakistan,13,Feb,2006,2
ODI # 2330,Australia,Sri Lanka,Brisbane,Australia,Australia,14,Feb,2006,2
ODI # 2331,Pakistan,India,Multan,India,Pakistan,16,Feb,2006,2
ODI # 2332,New Zealand,West Indies,Wellington,New Zealand,New Zealand,18,Feb,2006,1
ODI # 2333,Pakistan,India,Karachi,India,Pakistan,19,Feb,2006,2
ODI # 2334,Bangladesh,Sri Lanka,Bogra,Sri Lanka,Bangladesh,20,Feb,2006,2
ODI # 2335,New Zealand,West Indies,Queenstown,New Zealand,New Zealand,22,Feb,2006,2
ODI # 2336,Bangladesh,Sri Lanka,Bogra,Bangladesh,Bangladesh,22,Feb,2006,2
ODI # 2337,New Zealand,West Indies,Christchurch,New Zealand,New Zealand,25,Feb,2006,1
ODI # 2338,Bangladesh,Sri Lanka,Chittagong,Sri Lanka,Bangladesh,25,Feb,2006,1
ODI # 2339,Zimbabwe,Kenya,Bulawayo,Zimbabwe,Zimbabwe,25,Feb,2006,2
ODI # 2340,Zimbabwe,Kenya,Bulawayo,Kenya,Zimbabwe,26,Feb,2006,1
ODI # 2341,South Africa,Australia,Centurion,South Africa,South Africa,26,Feb,2006,2
ODI # 2342,New Zealand,West Indies,Napier,New Zealand,New Zealand,1,Mar,2006,1
ODI # 2343,Zimbabwe,Kenya,Harare,Kenya,Zimbabwe,1,Mar,2006,1
ODI # 2344,Zimbabwe,Kenya,Harare,Zimbabwe,Zimbabwe,3,Mar,2006,1
ODI # 2345,South Africa,Australia,Cape Town,South Africa,South Africa,3,Mar,2006,1
ODI # 2346,New Zealand,West Indies,Auckland,West Indies,New Zealand,4,Mar,2006,2
ODI # 2347,South Africa,Australia,Port Elizabeth,Australia,South Africa,5,Mar,2006,1
ODI # 2348,South Africa,Australia,Durban,Australia,South Africa,10,Mar,2006,2
ODI # 2349,South Africa,Australia,Johannesburg,South Africa,South Africa,12,Mar,2006,2
ODI # 2350,Bangladesh,Kenya,Bogra,Bangladesh,Bangladesh,17,Mar,2006,1
ODI # 2352,Sri Lanka,Pakistan,Colombo,Pakistan,Sri Lanka,19,Mar,2006,2
ODI # 2353,Bangladesh,Kenya,Khulna,Bangladesh,Bangladesh,20,Mar,2006,2
ODI # 2354,Sri Lanka,Pakistan,Colombo,Pakistan,Sri Lanka,22,Mar,2006,2
ODI # 2355,Bangladesh,Kenya,Fatullah,Bangladesh,Bangladesh,23,Mar,2006,1
ODI # 2356,Bangladesh,Kenya,Fatullah,Bangladesh,Bangladesh,25,Mar,2006,2
ODI # 2357,India,England,Delhi,India,India,28,Mar,2006,1
ODI # 2358,India,England,Faridabad,India,India,31,Mar,2006,2
ODI # 2359,India,England,Margao,India,India,3,Apr,2006,1
ODI # 2360,India,England,Kochi,India,India,6,Apr,2006,2
ODI # 2361,India,England,Jamshedpur,England,India,12,Apr,2006,2
ODI # 2362,India,England,Indore,India,India,15,Apr,2006,2
ODI # 2363,India,Pakistan,Abu Dhabi,Pakistan,U.A.E.,18,Apr,2006,2
ODI # 2364,India,Pakistan,Abu Dhabi,India,U.A.E.,19,Apr,2006,1
ODI # 2365,Bangladesh,Australia,Chittagong,Australia,Bangladesh,23,Apr,2006,2
ODI # 2366,Bangladesh,Australia,Fatullah,Australia,Bangladesh,26,Apr,2006,1
ODI # 2367,Bangladesh,Australia,Fatullah,Australia,Bangladesh,28,Apr,2006,2
ODI # 2368,West Indies,Zimbabwe,St John's,West Indies,West Indies,29,Apr,2006,2
ODI # 2369,West Indies,Zimbabwe,St John's,West Indies,West Indies,30,Apr,2006,1
ODI # 2370,West Indies,Zimbabwe,Georgetown,West Indies,West Indies,7,May,2006,1
ODI # 2371,West Indies,Zimbabwe,Gros Islet,West Indies,West Indies,10,May,2006,2
ODI # 2373,West Indies,Zimbabwe,Port of Spain,West Indies,West Indies,14,May,2006,1
ODI # 2374,Canada,Zimbabwe,Port of Spain,Zimbabwe,West Indies,16,May,2006,1
ODI # 2375,Bermuda,Canada,Port of Spain,Bermuda,West Indies,17,May,2006,2
ODI # 2376,Bermuda,Zimbabwe,Port of Spain,Zimbabwe,West Indies,18,May,2006,1
ODI # 2377,West Indies,India,Kingston,India,West Indies,18,May,2006,2
ODI # 2378,Bermuda,Zimbabwe,Port of Spain,Zimbabwe,West Indies,20,May,2006,1
ODI # 2379,West Indies,India,Kingston,West Indies,West Indies,20,May,2006,1
ODI # 2380,West Indies,India,Basseterre,West Indies,West Indies,23,May,2006,2
ODI # 2381,West Indies,India,Port of Spain,West Indies,West Indies,26,May,2006,2
ODI # 2382,West Indies,India,Port of Spain,West Indies,West Indies,28,May,2006,1
ODI # 2383,Ireland,England,Belfast,England,Ireland,13,Jun,2006,1
ODI # 2384,England,Sri Lanka,Lord's,Sri Lanka,England,17,Jun,2006,1
ODI # 2385,England,Sri Lanka,The Oval,Sri Lanka,England,20,Jun,2006,1
ODI # 2386,England,Sri Lanka,Chester,Sri Lanka,England,24,Jun,2006,2
ODI # 2387,Scotland,Pakistan,Edinburgh,Pakistan,Scotland,27,Jun,2006,2
ODI # 2388,England,Sri Lanka,Manchester,Sri Lanka,England,28,Jun,2006,1
ODI # 2389,England,Sri Lanka,Leeds,Sri Lanka,England,1,Jul,2006,2
ODI # 2390,Netherlands,Sri Lanka,Amstelveen,Sri Lanka,Netherlands,4,Jul,2006,1
ODI # 2391,Netherlands,Sri Lanka,Amstelveen,Sri Lanka,Netherlands,6,Jul,2006,1
ODI # 2392,Zimbabwe,Bangladesh,Harare,Zimbabwe,Zimbabwe,29,Jul,2006,2
ODI # 2393,Zimbabwe,Bangladesh,Harare,Bangladesh,Zimbabwe,30,Jul,2006,1
ODI # 2394,Zimbabwe,Bangladesh,Harare,Zimbabwe,Zimbabwe,2,Aug,2006,2
ODI # 2395,Zimbabwe,Bangladesh,Harare,Zimbabwe,Zimbabwe,4,Aug,2006,2
ODI # 2396,Scotland,Ireland,Ayr,Ireland,Scotland,5,Aug,2006,1
ODI # 2397,Canada,Kenya,Toronto,Kenya,Canada,5,Aug,2006,1
ODI # 2398,Zimbabwe,Bangladesh,Harare,Bangladesh,Zimbabwe,6,Aug,2006,2
ODI # 2399,Scotland,Netherlands,Ayr,Scotland,Scotland,6,Aug,2006,2
ODI # 2400,Canada,Kenya,Toronto,Kenya,Canada,6,Aug,2006,2
ODI # 2402,Kenya,Bangladesh,Nairobi,Bangladesh,Kenya,12,Aug,2006,2
ODI # 2403,Kenya,Bangladesh,Nairobi,Bangladesh,Kenya,13,Aug,2006,2
ODI # 2404,Kenya,Bangladesh,Nairobi,Bangladesh,Kenya,15,Aug,2006,2
ODI # 2406,Canada,Bermuda,Toronto,Bermuda,Canada,19,Aug,2006,2
ODI # 2407,Canada,Bermuda,Toronto,Bermuda,Canada,21,Aug,2006,1
ODI # 2409,England,Pakistan,Lord's,Pakistan,England,2,Sep,2006,2
ODI # 2410,England,Pakistan,Southampton,Pakistan,England,5,Sep,2006,2
ODI # 2411,England,Pakistan,Nottingham,England,England,8,Sep,2006,2
ODI # 2412,England,Pakistan,Birmingham,England,England,10,Sep,2006,2
ODI # 2413,Australia,West Indies,Kuala Lumpur,Australia,Malaysia,12,Sep,2006,1
ODI # 2414,India,West Indies,Kuala Lumpur,West Indies,Malaysia,14,Sep,2006,1
ODI # 2415,South Africa,Zimbabwe,Bloemfontein,South Africa,South Africa,15,Sep,2006,2
ODI # 2417,Australia,West Indies,Kuala Lumpur,West Indies,Malaysia,18,Sep,2006,2
ODI # 2418,South Africa,Zimbabwe,East London,South Africa,South Africa,18,Sep,2006,2
ODI # 2419,India,West Indies,Kuala Lumpur,India,Malaysia,20,Sep,2006,1
ODI # 2420,South Africa,Zimbabwe,Potchefstroom,South Africa,South Africa,20,Sep,2006,1
ODI # 2421,Australia,India,Kuala Lumpur,Australia,Malaysia,22,Sep,2006,1
ODI # 2422,Australia,West Indies,Kuala Lumpur,Australia,Malaysia,24,Sep,2006,1
ODI # 2423,Bangladesh,Sri Lanka,Mohali,Sri Lanka,,7,Oct,2006,1
ODI # 2424,West Indies,Zimbabwe,Ahmedabad,West Indies,India,8,Oct,2006,2
ODI # 2425,Sri Lanka,Zimbabwe,Ahmedabad,Sri Lanka,India,10,Oct,2006,1
ODI # 2426,Bangladesh,West Indies,Jaipur,West Indies,India,11,Oct,2006,2
ODI # 2427,Bangladesh,Zimbabwe,Jaipur,Bangladesh,India,13,Oct,2006,1
ODI # 2428,Sri Lanka,West Indies,Mumbai,Sri Lanka,India,14,Oct,2006,2
ODI # 2429,India,England,Jaipur,India,India,15,Oct,2006,2
ODI # 2430,New Zealand,South Africa,Mumbai,New Zealand,India,16,Oct,2006,1
ODI # 2431,Pakistan,Sri Lanka,Jaipur,Pakistan,India,17,Oct,2006,2
ODI # 2432,Australia,West Indies,Mumbai,West Indies,India,18,Oct,2006,1
ODI # 2433,New Zealand,Sri Lanka,Mumbai,Sri Lanka,India,20,Oct,2006,2
ODI # 2434,Australia,England,Jaipur,Australia,India,21,Oct,2006,2
ODI # 2435,South Africa,Sri Lanka,Ahmedabad,South Africa,India,24,Oct,2006,1
ODI # 2436,New Zealand,Pakistan,Mohali,New Zealand,,25,Oct,2006,1
ODI # 2437,India,West Indies,Ahmedabad,West Indies,India,26,Oct,2006,2
ODI # 2438,Pakistan,South Africa,Mohali,South Africa,,27,Oct,2006,1
ODI # 2439,England,West Indies,Ahmedabad,England,India,28,Oct,2006,2
ODI # 2440,India,Australia,Mohali,Australia,,29,Oct,2006,2
ODI # 2441,Australia,New Zealand,Mohali,Australia,,1,Nov,2006,1
ODI # 2442,South Africa,West Indies,Jaipur,West Indies,India,2,Nov,2006,2
ODI # 2443,Australia,West Indies,Mumbai,Australia,India,5,Nov,2006,2
ODI # 2444,Kenya,Bermuda,Mombasa,Kenya,Kenya,11,Nov,2006,1
ODI # 2445,Kenya,Bermuda,Mombasa,Kenya,Kenya,12,Nov,2006,2
ODI # 2446,Kenya,Bermuda,Mombasa,Kenya,Kenya,14,Nov,2006,1
ODI # 2447,South Africa,India,Durban,South Africa,South Africa,22,Nov,2006,1
ODI # 2448,Canada,Netherlands,Potchefstroom,Netherlands,South Africa,26,Nov,2006,1
ODI # 2449,South Africa,India,Cape Town,South Africa,South Africa,26,Nov,2006,1
ODI # 2450,Bermuda,Canada,Potchefstroom,Canada,South Africa,27,Nov,2006,2
ODI # 2451,Bermuda,Netherlands,Potchefstroom,Netherlands,South Africa,28,Nov,2006,2
ODI # 2452,South Africa,India,Port Elizabeth,South Africa,South Africa,29,Nov,2006,1
ODI # 2453,Bangladesh,Zimbabwe,Khulna,Bangladesh,Bangladesh,30,Nov,2006,2
ODI # 2454,Bermuda,Canada,Benoni,Canada,South Africa,30,Nov,2006,2
ODI # 2455,Canada,Netherlands,Benoni,Netherlands,South Africa,1,Dec,2006,2
ODI # 2456,Bermuda,Netherlands,Benoni,Bermuda,South Africa,2,Dec,2006,2
ODI # 2457,Bangladesh,Zimbabwe,Bogra,Bangladesh,Bangladesh,3,Dec,2006,2
ODI # 2458,South Africa,India,Centurion,South Africa,South Africa,3,Dec,2006,2
ODI # 2459,Bangladesh,Zimbabwe,Bogra,Bangladesh,Bangladesh,5,Dec,2006,1
ODI # 2460,Pakistan,West Indies,Faisalabad,Pakistan,Pakistan,7,Dec,2006,2
ODI # 2461,Bangladesh,Zimbabwe,Dhaka,Bangladesh,Bangladesh,8,Dec,2006,2
ODI # 2462,Bangladesh,Zimbabwe,Dhaka,Bangladesh,Bangladesh,9,Dec,2006,2
ODI # 2463,Pakistan,West Indies,Lahore,Pakistan,Pakistan,10,Dec,2006,2
ODI # 2464,Pakistan,West Indies,Multan,West Indies,Pakistan,13,Dec,2006,2
ODI # 2465,Bangladesh,Scotland,Chittagong,Bangladesh,Bangladesh,15,Dec,2006,2
ODI # 2466,Pakistan,West Indies,Karachi,Pakistan,Pakistan,16,Dec,2006,2
ODI # 2467,Bangladesh,Scotland,Dhaka,Bangladesh,Bangladesh,17,Dec,2006,1
ODI # 2468,New Zealand,Sri Lanka,Napier,Sri Lanka,New Zealand,28,Dec,2006,2
ODI # 2469,New Zealand,Sri Lanka,Queenstown,New Zealand,New Zealand,31,Dec,2006,2
ODI # 2470,New Zealand,Sri Lanka,Christchurch,New Zealand,New Zealand,2,Jan,2007,2
ODI # 2471,New Zealand,Sri Lanka,Auckland,Sri Lanka,New Zealand,6,Jan,2007,1
