Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Nation
MH Yardy ,2006-2011,28,28,1332,1075,21,3/24,51.19,4.84,63.4,0,0,WI
Faheem Ashraf ,2017-2019,23,22,902,744,20,5/22,37.2,4.94,45.1,0,1,ENG
A Jadeja ,1992-2000,196,52,1248,1094,20,3/3,54.7,5.25,62.4,0,0,WI
RT Lyons ,2006-2010,25,23,1093,901,20,3/21,45.05,4.94,54.6,0,0,AUS
NO Perry ,1999-2000,21,21,946,783,20,3/45,39.15,4.96,47.3,0,0,INDIA
Rashid Khan ,1980-1985,29,28,1414,923,20,3/47,46.15,3.91,70.7,0,0,AFG
DA Reeve ,1991-1996,29,28,1147,820,20,3/20,41.0,4.28,57.3,0,0,INDIA
Shoaib Mohammad ,1984-1993,63,35,919,725,20,3/20,36.25,4.73,45.9,0,0,NL
PVD Chameera ,2015-2019,23,23,895,796,19,3/20,41.89,5.33,47.1,0,0,BDESH
TM Chappell ,1980-1983,20,14,736,538,19,3/31,28.31,4.38,38.7,0,0,SL
Enamul Haque ,1990-2002,29,28,1238,1083,19,2/40,57.0,5.24,65.1,0,0,BMUDA
AW Greig ,1972-1977,22,19,916,619,19,4/45,32.57,4.05,48.2,1,0,ENG
MA Leask ,2014-2019,34,31,1142,1019,19,4/37,53.63,5.35,60.1,1,0,ZIM
JN Maguire ,1983-1984,23,20,1009,769,19,3/61,40.47,4.57,53.1,0,0,AUS
Mohammad Akram ,1995-2000,23,21,989,790,19,2/28,41.57,4.79,52.0,0,0,AUS
Mushfiqur Rahman ,2000-2004,28,28,1332,983,19,2/21,51.73,4.42,70.1,0,0,ZIM
M Sheikh ,1997-2000,21,21,778,625,19,4/36,32.89,4.82,40.9,1,0,AUS
Tanwir Afzal ,2014-2018,20,19,852,601,19,3/20,31.63,4.23,44.8,0,0,ENG
AJ Traicos ,1983-1993,27,26,1524,987,19,3/35,51.94,3.88,80.2,0,0,PAK
PCR Tufnell ,1990-1997,20,20,1020,699,19,4/22,36.78,4.11,53.6,1,0,NZ
Anwar Ali ,2013-2016,22,22,927,944,18,3/66,52.44,6.11,51.5,0,0,ZIM
DJ Hussey ,2008-2013,69,39,802,698,18,4/21,38.77,5.22,44.5,2,0,ENG
AP Kuiper ,1991-1996,25,19,588,518,18,3/33,28.77,5.28,32.6,0,0,NZ
CS Martin ,2001-2008,20,19,948,804,18,3/62,44.66,5.08,52.6,0,0,BMUDA
Mohammad Ashraful ,2001-2013,177,40,697,661,18,3/26,36.72,5.69,38.7,0,0,NZ
MV Nagamootoo ,2000-2002,24,24,1189,998,18,4/32,55.44,5.03,66.0,1,0,SL
AH Omarshah ,1983-1996,28,25,1077,812,18,3/33,45.11,4.52,59.8,0,0,ZIM
GC Smith ,2002-2013,197,43,1026,951,18,3/30,52.83,5.56,57.0,0,0,SCOT
KC Wessels ,1983-1994,109,23,749,666,18,2/16,37.0,5.33,41.6,0,0,SL
Adeel Raja ,2002-2011,21,21,846,690,17,4/42,40.58,4.89,49.7,1,0,WI
DJ Capel ,1987-1990,23,22,1038,805,17,3/38,47.35,4.65,61.0,0,0,ENG
EAR de Silva ,1986-1992,28,28,1374,967,17,3/38,56.88,4.22,80.8,0,0,SL
HH Kanitkar ,1997-2000,34,28,1006,803,17,2/22,47.23,4.78,59.1,0,0,AFG
PADLR Sandakan ,2016-2019,21,20,961,1031,17,4/52,60.64,6.43,56.5,1,0,PAK
PM Siddle ,2009-2019,20,19,901,743,17,3/55,43.7,4.94,53.0,0,0,AfrSA
S Matsikenyeri ,2002-2015,113,38,920,778,16,2/25,48.62,5.07,57.5,0,0,AFG
BS Sandhu ,1982-1984,22,21,1110,763,16,3/27,47.68,4.12,69.3,0,0,SCOT
RR Sarwan ,2000-2013,181,25,581,586,16,3/31,36.62,6.05,36.3,0,0,SA
MP Vaughan ,2001-2007,86,28,796,649,16,4/22,40.56,4.89,49.7,1,0,ENG
SM Patil ,1980-1986,45,20,864,589,15,2/28,39.26,4.09,57.6,0,0,ENG
Rajin Saleh ,2003-2006,43,19,539,459,15,4/16,30.6,5.1,35.9,1,0,NZ
AK Sharma ,1988-1993,31,29,1140,875,15,3/41,58.33,4.6,76.0,0,0,NL
LJ Wright ,2007-2014,50,37,1038,884,15,2/34,58.93,5.1,69.2,0,0,SL
F Behardien ,2013-2018,59,35,748,719,14,3/19,51.35,5.76,53.4,0,0,PAK
DE Bernard ,2003-2010,20,17,624,526,14,3/32,37.57,5.05,44.5,0,0,AUS
GS Blewett ,1995-1999,32,24,749,646,14,2/6,46.14,5.17,53.5,0,0,WI
S Chanderpaul ,1994-2011,268,28,740,636,14,3/18,45.42,5.15,52.8,0,0,SA
JWM Dalrymple ,2006-2007,27,23,840,666,14,2/5,47.57,4.75,60.0,0,0,WI
UC Hathurusingha ,1992-1999,35,25,954,709,14,4/57,50.64,4.45,68.1,1,0,BDESH
D Mongia ,2001-2007,57,21,640,571,14,3/31,40.78,5.35,45.7,0,0,SL
Mosaddek Hossain ,2016-2019,35,33,902,787,14,3/13,56.21,5.23,64.4,0,0,AUS
Rahmat Shah ,2013-2019,73,26,524,504,14,5/32,36.0,5.77,37.4,0,1,PNG
SA Ankola ,1989-1997,20,20,807,615,13,3/33,47.3,4.57,62.0,0,0,SL
TLW Cooper ,2010-2013,23,19,553,438,13,3/11,33.69,4.75,42.5,0,0,ZIM
Ijaz Faqih ,1980-1988,27,25,1116,819,13,4/43,63.0,4.4,85.8,1,0,PAK
Majid Khan ,1973-1982,23,15,658,374,13,3/27,28.76,3.41,50.6,0,0,BMUDA
AD Mascarenhas ,2007-2009,20,20,822,634,13,3/23,48.76,4.62,63.2,0,0,SCOT
Minhajul Abedin ,1986-1999,27,18,546,511,13,2/39,39.3,5.61,42.0,0,0,NL
ASA Perera ,1998-2001,20,18,579,522,13,2/25,40.15,5.4,44.5,0,0,NZ
JJ Tucker ,2006-2009,26,21,819,701,13,2/23,53.92,5.13,63.0,0,0,INDIA
P Willey ,1977-1986,26,22,1031,659,13,3/33,50.69,3.83,79.3,0,0,INDIA
Aftab Ahmed ,2004-2010,85,30,739,656,12,5/31,54.66,5.32,61.5,0,1,PAK
M Azharuddin ,1985-2000,334,24,552,479,12,3/19,39.91,5.2,46.0,0,0,BMUDA
IP Butchart ,1983-1995,20,16,702,640,12,3/57,53.33,5.47,58.5,0,0,ENG
ADR Campbell ,1992-2003,188,30,509,434,12,2/20,36.16,5.11,42.4,0,0,WI
TM Head ,2016-2018,42,26,765,737,12,2/22,61.41,5.78,63.7,0,0,BDESH
